,Avg Cell Entropy,Avg Stable Cell Entropy,Last Cell Entropy,Stable diag LR,Stable diag RL,Initial,Kind
0,0.9698157442970092,0.9602849253247786,0.9895875212220557,0.973411316392283,0.9798740736595997,0000000000000000001000000000000000000000000000000001000000000000000000001000100000000000001010000000,ensemble
1,0.9789896941695683,0.9566502817734609,0.9765004687578241,0.971938888749009,0.9769451082542073,0001000100000000000000000000000010100000000000100000000010000000000000010000001000000000000000100000,ensemble
2,0.9854017726812448,0.9719079592945699,0.9814538950336535,0.9763000676310548,0.9792499473680424,0000000000000000000000001000000010000100000110000000000000000000000010100100001000000000000000001100,ensemble
3,0.9771411712513566,0.9710817374682063,0.9765004687578241,0.9728830203650894,0.9752971169130995,0000000000000000000100000000000000000100000001000000000000000000000100000000000000011000000000000001,ensemble
4,0.9553614287219179,0.9232206630498553,0.9895875212220557,0.9785798220907865,0.9787908015849464,0001100000000000010000000000000000000000000000000000000000100001000010000001000000000000000000000000,ensemble
5,0.9737963119943887,0.9732842930081032,0.9953784388202258,0.972258390384179,0.9780726346079329,0000000000000100000010000000001000001101000000000001000000000000000000000001000000000001000001000000,ensemble
6,0.9528976280946607,0.9206248951231282,0.9895875212220557,0.9783973471965699,0.9787692409852848,0100000000000000000000100000000000000000100001001100011000000000000001100001000000000000001000000000,ensemble
7,0.9828516586568543,0.9748899968931102,0.9895875212220557,0.9728624743165092,0.9773756375924407,0000000000000010000000000000010010010000000000000000000000000001000110000001101000000000000000000000,ensemble
8,0.9556028622882127,0.9496971437170457,0.9765004687578241,0.9718782191477875,0.9790844849173813,0000100000010100010001000011100000000000010000000000000000001001010000100000100000000000010000001000,ensemble
9,0.9637812386661286,0.9265912387716293,0.9765004687578241,0.9760168178949815,0.9776452345287254,0000000001100000100000010000000010000000100010000011000000000000010000000100000000000000000000010000,ensemble
10,0.9823134699154198,0.9694892780429073,0.9858150371789198,0.9714875457995362,0.9791165682094932,0000100000100010000100000000000000010000000000000000110100000000000000000000000000011100100000000011,ensemble
11,0.9133683982878673,0.9072491088724948,0.9765004687578241,0.971482497513764,0.9685548589174101,0001000001000100000000100000010000000000000000100010000010000001100001000000000000000001000100000000,ensemble
12,0.9805422524742822,0.9527084776349528,0.9895875212220557,0.9767214806082023,0.9772169653014691,1000000000000100000000000000000000000011001001001000000000100000000000000000000000000001000000000000,ensemble
13,0.9812385998711123,0.967751458556747,0.9927744539878084,0.9741516105339285,0.978650394792316,0000000000000001000100000000001011000000000100010000000010010000000000000000001000000000000000000100,ensemble
14,0.9841261204664457,0.9681414939297361,0.9814538950336535,0.975638747211414,0.9797977247438941,0000000000100000000000001000000000000000000000000000000000010000000010000010000000010000000000000000,ensemble
15,0.9832824830415245,0.9757432396013521,0.9580420222262995,0.9713739352489055,0.9757954766058455,0000101001000010000000000000001000000000000000111111000000100000100000000010000011000000100000000000,ensemble
16,0.9821833971019694,0.9694415176724565,0.9765004687578241,0.9707248596511274,0.9768320602526384,0000001000000000000000000000000000000000001010000000100100000000000001010010111000000000000000000000,ensemble
17,0.9583252965711628,0.936248385936504,0.9988455359952018,0.9700857476849266,0.9749998736590857,0010000000000000000100000010000000000000000000000010000001000000000000010000000000001000000000001010,ensemble
18,0.9808955263089912,0.9396071003665416,0.9895875212220557,0.9779879589301941,0.9783703377263853,0000000001001000000000000000000000000000000000000001000000000010000000000000000001000000000000000000,ensemble
19,0.9763780958307562,0.972185934782773,0.9974015885677396,0.9814440815104859,0.9841457209831234,0000000101100000000000101000010000001010000000100000000100100000000010000000010000000100010000000000,ensemble
20,0.9866894410809798,0.9840094970507178,0.986017614109976,0.9828493700125072,0.9837410902342014,,ergodic
21,0.015987587268749714,0.030151681105340944,0.001656130428573599,0.008717641615175964,0.006111239241418875,,complexity
