,Avg Cell Entropy,Avg Stable Cell Entropy,Last Cell Entropy,Timesteps,Cells,Rule,Initial,Init,Ergodic
0,0.9999397836410664,0.9998420428975795,0.9953784388202258,10000,200,30,10101101111010000101010011111000110100101000110110001011011110010111110010011100001000001100000011101100001001100000011000110001000111110100110100101101100101101111111111010011010010001100001000101110,random,False
1,0.9999417549196349,0.9998812291929533,0.9993506898146105,10000,200,30,10110101011110100010100100001110101110110100100010111110000011101110011111100011011000000011010000001001100101100001100100100100001101111111001111111010100001101000010100101000011110101011010101001010,random,False
2,0.9998943051592016,0.99983458655058,0.9988455359952018,10000,200,30,00100100001010100000101111000000101100101101100000100100111011011011110000100110011100001110100001110101000101111100011011000001000101110110010001100011101111001111001110011010100001010010011000110111,random,False
3,0.9999252804239254,0.9998694140504338,0.9993506898146105,10000,200,30,00110000111010011110110100110101001101001001011010000011001011110010100000000011000110011100000100110110111010101111101010010110010111100001001101001001101001111100111000001000101000100011110001011000,random,False
4,0.9999403294019031,0.9998755754112306,0.9765004687578241,10000,200,30,11100000111110101000111100111001010110000011010111011110001110011011110111010010111100101100101000010011100101001111111011101000000010100001000101000001011110011100101110000100011010010010001111001110,random,False
5,0.9999293579981561,0.9998751762770958,1.0,10000,200,30,10000111011101110011010111001111010000101111011011011110110000100111101111000000001111000010110011001001111010111101100010011110101000110000100110110000100000000100011110111110000100110011111110000111,random,False
6,0.9999328933386322,0.9998525241292299,0.9997114417528099,10000,200,30,00100000101000001101101001101100000010111010101110100111000000101101111111110000101011110100000001110011110110110010001101110101111000010011000111110110100011110011100110011001010111111011010100110110,random,False
7,0.999926181942692,0.9998289441791428,0.9993506898146105,10000,200,30,00111101100110000011001010000111000111111011001010001110100101111111100111001010010110101110001111111010111001100101101110110011001100001011101111011101011000000010100110000011001111001110101100101001,random,False
8,0.9999397378490371,0.9998925038668877,0.9988455359952018,10000,200,30,01111010011101001001100111000111101001011000101110011001000001010101111101011110011100101001000101110111100011100000001100011011000000010110110100101101110111010110011001101101101111100001000100011001,random,False
9,0.9999278696395971,0.9998554071641595,0.9953784388202258,10000,200,30,11000100100111100011001010101111010000010011001111001010010110001110010111100100100100100111011101000011111110101000001101100001101011111100001111010111010110010001010000011101110000110001000000101000,random,False
10,0.9999457982192521,0.9998758391754214,0.9974015885677396,10000,200,30,00101100001001101011110110010010000010010011111000100000011001101001110110100111101100110110000101100001100001101011011011010101100111110100110000000010001110011101101001011001111011101100010100001111,random,False
11,0.9999396141532242,0.9998511488936193,0.9858150371789198,10000,200,30,01111001000011110000100100001000111110100101110010000001001111001100101011011011101100111111011000100010001001101111100011000111000010000101001100100001100100001101110011001001111010110111111011100000,random,False
12,0.9999091833457225,0.9998392690461416,0.9997114417528099,10000,200,30,10011110000111111001111011011000001111100111000011010010010011101111001000000110011100010110000010001100101010010000001101101001011000001011110110000101110000010110010001101000100110101000010001000000,random,False
13,0.9999287833776475,0.999870872632398,0.994149171480893,10000,200,30,01111111111001101101100111010100101100001011111000010110110101010001101000101111010111110100111101101011001000001101001000001010000101100010000011100111100110011001111100001011010011000101001101011110,random,False
14,0.999916549210499,0.9998629529655355,0.9999278640456615,10000,200,30,10001010011110110101010111111000101000010010011110010001000011010111001001000100000111101110111000111101000001011011100100100110110111000010110110110011101111100011111001000101101000000100110111011010,random,False
15,0.9999273793592071,0.9998435561724137,0.994149171480893,10000,200,30,01100011001001001111000001001100111101111010001110000011000100001110000010111101111100001101010011111100011100011100110011010110001111000100110101101100111110001011100011111110110100011000100010011110,random,False
16,0.9999195443254869,0.9998363095552516,0.9953784388202258,10000,200,30,10001001101011101001100101010110010100010010000101100011001111101001001100000110111111000101010001001101110000101101011110100101000101001000001010001010100000011000110111110111111011010001000110001000,random,False
17,0.9999027840016361,0.9998300479119573,0.9993506898146105,10000,200,30,10111101010001011011101001110001011110010011100010010110111111011000000001010010010000000101110110010101001111011001111011001100000111101000011111111010000000111000000010100110100101000001110101111001,random,False
18,0.9999287974612813,0.9998578231577031,0.9858150371789198,10000,200,30,10111011101000010000101001001011110100011110111001100000000001111101111101110010011001001010110000000110100010010110111101101010011101010011001100101001011100111111001100100000000111010110000000011011,random,False
19,0.9999223604985255,0.9998163633759023,0.9993506898146105,10000,200,30,11001111010000010000100100111010001111000111100001101111010010010000111010000011010000001000010101111011100101010000110000000100001011010111110101001111001010111011110001100001110101010011011010100001,random,False
20,0.9999955215844761,0.9999915897727337,0.9994343896240241,10000,200,30,,random,True
