,Avg Cell Entropy,Avg Stable Cell Entropy,Last Cell Entropy,Stable diag LR,Stable diag RL,Timesteps,Cells,Rule,Initial,Init,Ergodic
0,0.9999249748557305,0.9997229286388483,0.7950402793845223,0.9843865076298506,0.9172549832893337,100,100,47,1000000000000000101000000010100000000000100001000100000000010000100001000000000010000000100001000000,sparse,False
1,0.9999480595155057,0.9998152857592322,0.6343095546405662,0.9843865076298506,0.9752242805541964,100,100,47,0000000000001001000000000100000000000010000101010000000001000000000000000000000000010100000000100000,sparse,False
2,0.9999538306804496,0.9998152857592322,0.7219280948873623,0.9843865076298506,0.9587655125338588,100,100,47,0000000000010000001001100010000000000000000010000100000000000000000000011000000000001000000001101000,sparse,False
3,0.9999567162629215,0.9998383750393282,0.584238811642856,0.9843865076298506,0.9686570264235708,100,100,47,0000001000000000000000000000000000001010000000010000000000010000000000001000100000000000010000000000,sparse,False
4,0.9999653730103372,0.9998614643194241,0.5293608652873644,0.9843865076298506,0.9668548449297623,100,100,47,0000000001000000000000000000001000000000001000000000000000000000010000000000000000000001000000000001,sparse,False
5,0.9999624874278653,0.9998845535995201,0.584238811642856,0.9843865076298506,0.9618402987552916,100,100,47,0000000000000001001000000000000000000000000100000010000000000000100000100000000000001000000000000000,sparse,False
6,0.9999394027680901,0.9997691071990402,0.7219280948873623,0.9843865076298506,0.9573818012606247,100,100,47,0000001001010000000100000000000000000100000000010000001000100000100010000000000000000000000000100000,sparse,False
7,0.9999769153402248,0.9998845535995201,0.4689955935892812,0.9843865076298506,0.9405829042205235,100,100,47,0000000000000000000010000000000000000000000000001010010000000000001000000000000000000000100000000000,sparse,False
8,0.9999307437105139,0.9997921964791362,0.7601675029619657,0.9843865076298506,0.9108881509343184,100,100,47,0011010000000000000001000000010000000000000001000000000000100000100000000000000010010000000010000010,sparse,False
9,0.9999567162629215,0.9998152857592322,0.6343095546405662,0.9843865076298506,0.960635600651079,100,100,47,0001000010010000000001000000001000100000000000000000000000000000000001000000000000000000000000001000,sparse,False
10,0.999994921692527,0.9999829181939995,0.6531091121418667,0.9960776408344645,0.9792304478551351,100,100,47,,sparse,True
